table_group,table_group_desc,source_type,source_db,source_table,table_desc,is_pii,pii_type,has_hard_deletes,target_sink,target_db,target_schema,target_table_name,load_type,source_delta_column,primary_key,initial_load_filter,load_frequency,load_cron_expr,tidal_dependencies,tidal_trigger_condition,expected_start_time,job_watchers,max_retry,disable_no_record_failure,job_tag,is_scheduled,job_id,snowflake_ddl,snowflake_pre_sql,snowflake_post_sql,additional_config
NZ_Migration,,NZ_Export_Mako8,EDW_PRD,WM_LABOR_MSG_CRIT,,FALSE,,FALSE,delta,refine,,WM_LABOR_MSG_CRIT_history,upsert,UPDATE_TSTMP,"LOCATION_ID,WM_LABOR_MSG_CRIT_ID",,daily,,,,,pshekhar@petsmart.com,0,TRUE,"'{""Department"":""Netezza-Migration""}'",FALSE,,,,,
NZ_Migration,,NZ_Export_Mako8,EDW_PRD,WM_OUTPT_ORDER_LINE_ITEM,,FALSE,,FALSE,delta,refine,,WM_OUTPT_ORDER_LINE_ITEM_history,upsert,UPDATE_TSTMP,"LOCATION_ID,WM_OUTPT_ORDERS_ID",,daily,,,,,pshekhar@petsmart.com,0,TRUE,"'{""Department"":""Netezza-Migration""}'",FALSE,,,,,
NZ_Migration,,NZ_Export_Mako8,EDW_PRD,WM_PIX_TRAN,,FALSE,,FALSE,delta,refine,,WM_PIX_TRAN_history,upsert,UPDATE_TSTMP,"LOCATION_ID,WM_PIX_TRAN_ID",,daily,,,,,pshekhar@petsmart.com,0,TRUE,"'{""Department"":""Netezza-Migration""}'",FALSE,,,,,
NZ_Migration,,NZ_Export_Mako8,EDW_PRD,WM_SLOT_ITEM_SCORE,,FALSE,,FALSE,delta,refine,,WM_SLOT_ITEM_SCORE_history,upsert,UPDATE_TSTMP,"LOCATION_ID,WM_SLOT_ITEM_SCORE_ID",,daily,,,,,pshekhar@petsmart.com,0,TRUE,"'{""Department"":""Netezza-Migration""}'",FALSE,,,,,
NZ_Migration,,NZ_Mako8,EDW_PRD,WM_ASN_DETAIL_STATUS,,FALSE,,FALSE,delta,refine,,WM_ASN_DETAIL_STATUS_history,upsert,UPDATE_TSTMP,"LOCATION_ID,WM_ASN_DETAIL_STATUS",,daily,,,,,pshekhar@petsmart.com,0,TRUE,"'{""Department"":""Netezza-Migration""}'",FALSE,,,,,
NZ_Migration,,NZ_Mako8,EDW_PRD,WM_CARRIER_CODE,,FALSE,,FALSE,delta,refine,,WM_CARRIER_CODE_history,upsert,UPDATE_TSTMP,"LOCATION_ID,WM_CARRIER_ID",,daily,,,,,pshekhar@petsmart.com,0,TRUE,"'{""Department"":""Netezza-Migration""}'",FALSE,,,,,
NZ_Migration,,NZ_Mako8,EDW_PRD,WM_E_ELM_CRIT,,FALSE,,FALSE,delta,refine,,WM_E_ELM_CRIT_history,upsert,UPDATE_TSTMP,"LOCATION_ID,WM_EQUIPMENT_ID",,daily,,,,,pshekhar@petsmart.com,0,TRUE,"'{""Department"":""Netezza-Migration""}'",FALSE,,,,,
NZ_Migration,,NZ_Mako8,EDW_PRD,WM_EQUIPMENT,,FALSE,,FALSE,delta,refine,,WM_EQUIPMENT_history,upsert,UPDATE_TSTMP,"LOCATION_ID,WM_EQUIPMENT_INSTANCE_ID",,daily,,,,,pshekhar@petsmart.com,0,TRUE,"'{""Department"":""Netezza-Migration""}'",FALSE,,,,,
NZ_Migration,,NZ_Mako8,EDW_PRD,WM_EQUIPMENT_INSTANCE,,FALSE,,FALSE,delta,refine,,WM_EQUIPMENT_INSTANCE_history,upsert,UPDATE_TSTMP,"LOCATION_ID,WM_ELM_ID,WM_CRIT_ID,WM_CRIT_VAL_ID",,daily,,,,,pshekhar@petsmart.com,0,TRUE,"'{""Department"":""Netezza-Migration""}'",FALSE,,,,,
NZ_Migration,,NZ_Mako8,EDW_PRD,WM_ILM_APPOINTMENT_OBJECTS,,FALSE,,FALSE,delta,refine,,WM_ILM_APPOINTMENT_OBJECTS_history,upsert,UPDATE_TSTMP,"LOCATION_ID,WM_APPOINTMENT_ID",,daily,,,,,pshekhar@petsmart.com,0,TRUE,"'{""Department"":""Netezza-Migration""}'",FALSE,,,,,
